--------------
C:\Users\mcmar\source\repos\betting\Betting\bin\Release>Betting.exe -u -e --league=Championship -y=2018 -r=9 > ..\..\..\OutputData\dataII1Championship.txt
--------------


 R2 values  1 0.84, X 0.64, 2 0.14 metric 76 

 R2 values  1 0.79, X 0.78, 2 0.23 metric 5029 

 R2 values  1 0.46, X 0.40, 2 0.11 metric 2524 

 R2 values  1 0.80, X 0.78, 2 0.06 metric 62 

 R2 values  1 0.35, X 0.24, 2 0.11 metric 7525 

 R2 values  1 0.78, X 0.79, 2 0.30 metric 77 

 R2 values  1 0.69, X 0.71, 2 0.21 metric 5030 

 R2 values  1 0.52, X 0.35, 2 0.18 metric 2525 

 R2 values  1 0.84, X 0.84, 2 0.14 metric 63 

 R2 values  1 0.69, X 0.53, 2 0.27 metric 78 

 R2 values  1 0.44, X 0.35, 2 0.16 metric 7526 

 R2 values  1 0.74, X 0.85, 2 0.15 metric 5031 

 R2 values  1 0.58, X 0.52, 2 0.23 metric 2526 

 R2 values  1 0.66, X 0.78, 2 0.08 metric 64 

 R2 values  1 0.68, X 0.65, 2 0.11 metric 79 

 R2 values  1 0.71, X 0.89, 2 0.06 metric 5032 

 R2 values  1 0.63, X 0.37, 2 0.15 metric 7527 

 R2 values  1 0.55, X 0.30, 2 0.19 metric 2527 

 R2 values  1 0.65, X 0.61, 2 0.10 metric 65 

 R2 values  1 0.85, X 0.80, 2 0.10 metric 80 

 R2 values  1 0.65, X 0.68, 2 0.09 metric 5033 

 R2 values  1 0.44, X 0.24, 2 0.18 metric 7528 

 R2 values  1 0.67, X 0.48, 2 0.21 metric 2528 

 R2 values  1 0.80, X 0.84, 2 0.37 metric 81 

 R2 values  1 0.63, X 0.63, 2 0.27 metric 66 

 R2 values  1 0.79, X 0.83, 2 0.20 metric 82 

 R2 values  1 0.42, X 0.31, 2 0.13 metric 7529 

 R2 values  1 0.64, X 0.55, 2 0.32 metric 2529 

 R2 values  1 0.72, X 0.59, 2 0.27 metric 5034 

 R2 values  1 0.76, X 0.65, 2 0.29 metric 67 

 R2 values  1 0.67, X 0.63, 2 0.12 metric 83 

 R2 values  1 0.77, X 0.68, 2 0.23 metric 5035 

 R2 values  1 0.76, X 0.57, 2 0.21 metric 7530 

 R2 values  1 0.75, X 0.75, 2 0.07 metric 2530 

 R2 values  1 0.73, X 0.70, 2 0.01 metric 84 

 R2 values  1 0.69, X 0.57, 2 0.18 metric 68 

 R2 values  1 0.73, X 0.70, 2 0.20 metric 5036 

 R2 values  1 0.63, X 0.70, 2 0.05 metric 85 

 R2 values  1 0.71, X 0.65, 2 0.25 metric 7531 

 R2 values  1 0.55, X 0.53, 2 0.12 metric 69 

 R2 values  1 0.73, X 0.69, 2 0.13 metric 2531 

 R2 values  1 0.65, X 0.65, 2 0.12 metric 5037 

 R2 values  1 0.81, X 0.80, 2 0.03 metric 70 

 R2 values  1 0.68, X 0.70, 2 0.01 metric 2532 

 R2 values  1 0.45, X 0.40, 2 0.06 metric 7532 

 R2 values  1 0.86, X 0.82, 2 0.09 metric 71 

 R2 values  1 0.66, X 0.60, 2 0.14 metric 86 

 R2 values  1 0.68, X 0.55, 2 0.31 metric 5038 

 R2 values  1 0.80, X 0.82, 2 0.26 metric 72 

 R2 values  1 0.67, X 0.67, 2 0.03 metric 2533 

 R2 values  1 0.64, X 0.59, 2 0.05 metric 87 

 R2 values  1 0.38, X 0.41, 2 0.00 metric 7533 

 R2 values  1 0.66, X 0.47, 2 0.37 metric 5039 

 R2 values  1 0.81, X 0.81, 2 0.17 metric 73 

 R2 values  1 0.60, X 0.55, 2 0.26 metric 88 

 R2 values  1 0.49, X 0.46, 2 0.08 metric 2534 

 R2 values  1 0.40, X 0.40, 2 0.04 metric 7534 

 R2 values  1 0.73, X 0.74, 2 0.04 metric 74 

 R2 values  1 0.77, X 0.83, 2 0.06 metric 5040 

 R2 values  1 0.53, X 0.40, 2 0.19 metric 89 

 R2 values  1 0.67, X 0.50, 2 0.13 metric 2535 

 R2 values  1 0.58, X 0.53, 2 0.19 metric 7535 

 R2 values  1 0.82, X 0.77, 2 0.08 metric 75 

 R2 values  1 0.84, X 0.82, 2 0.34 metric 90 

 R2 values  1 0.78, X 0.81, 2 0.15 metric 5041 

 R2 values  1 0.60, X 0.69, 2 0.01 metric 92 

 R2 values  1 0.74, X 0.46, 2 0.24 metric 7536 

 R2 values  1 0.73, X 0.70, 2 0.26 metric 2536 

 R2 values  1 0.85, X 0.78, 2 0.20 metric 91 

 R2 values  1 0.58, X 0.76, 2 0.05 metric 93 

 R2 values  1 0.88, X 0.85, 2 0.31 metric 5042 

 R2 values  1 0.64, X 0.32, 2 0.31 metric 7537 

 R2 values  1 0.77, X 0.81, 2 0.10 metric 108 

 R2 values  1 0.80, X 0.68, 2 0.07 metric 94 

 R2 values  1 0.64, X 0.56, 2 0.23 metric 2537 

 R2 values  1 0.78, X 0.77, 2 0.02 metric 109 

 R2 values  1 0.81, X 0.72, 2 0.07 metric 5043 

 R2 values  1 0.50, X 0.40, 2 0.16 metric 7538 

 R2 values  1 0.13, X 0.18, 2 0.03 metric 110 

 R2 values  1 0.58, X 0.67, 2 0.15 metric 2538 

 R2 values  1 0.75, X 0.64, 2 0.13 metric 5044 

 R2 values  1 0.63, X 0.60, 2 0.09 metric 95 

 R2 values  1 0.44, X 0.42, 2 0.24 metric 7539 

 R2 values  1 0.73, X 0.70, 2 0.04 metric 111 

 R2 values  1 0.84, X 0.77, 2 0.18 metric 5045 

 R2 values  1 0.56, X 0.53, 2 0.19 metric 2539 

 R2 values  1 0.71, X 0.77, 2 0.10 metric 96 

 R2 values  1 0.73, X 0.62, 2 0.15 metric 7540 

 R2 values  1 0.79, X 0.74, 2 0.17 metric 112 

 R2 values  1 0.71, X 0.66, 2 0.29 metric 5046 

 R2 values  1 0.72, X 0.66, 2 0.24 metric 2540 

 R2 values  1 0.68, X 0.53, 2 0.12 metric 97 

 R2 values  1 0.72, X 0.65, 2 0.11 metric 113 

 R2 values  1 0.64, X 0.44, 2 0.04 metric 7541 

 R2 values  1 0.78, X 0.51, 2 0.19 metric 5047 

 R2 values  1 0.73, X 0.58, 2 0.14 metric 2541 

 R2 values  1 0.82, X 0.77, 2 0.33 metric 114 

 R2 values  1 0.62, X 0.58, 2 0.21 metric 98 

 R2 values  1 0.39, X 0.52, 2 0.00 metric 7542 

 R2 values  1 0.67, X 0.61, 2 0.19 metric 5048 

 R2 values  1 0.80, X 0.71, 2 0.25 metric 115 

 R2 values  1 0.60, X 0.57, 2 0.02 metric 2542 

 R2 values  1 0.59, X 0.60, 2 0.05 metric 99 

