Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,HPTS,APTS,HPL,APL,FOH,FOD,FOA
E1,14/08/10,Swansea,Preston,4,0,H,3,0,H,S Rushton,19,10,12,3,9,9,6,6,0,1,0,0,1.83,3.4,4.5,1.8,3.25,4,1.8,3.4,4.2,1.8,3.2,3.7,1.8,3.5,4.5,1.8,3.4,4,1.83,3.5,4.33,1.8,3.4,4.33,1.83,3.4,4.4,1.83,3.4,4.33,38,1.91,1.83,3.55,3.34,4.8,4.28,33,2.16,2.03,1.76,1.73,17,0,1.37,1.33,3.29,3.11,0,0,1,1,2.40,3.38,3.48
E1,14/08/10,Watford,Coventry,2,2,D,1,0,H,T Kettle,10,8,5,3,9,8,9,7,1,0,0,0,2.25,3.25,3.2,2.15,3.2,3,2.25,3.2,3,2.2,3.1,2.8,2.2,3.3,3.3,2.25,3.25,2.88,2.2,3.3,3.25,2.1,3.25,3.4,2.25,3.3,3.25,2.2,3.25,3.3,38,2.31,2.23,3.39,3.23,3.4,3.13,34,2.02,1.94,1.91,1.8,22,0,1.66,1.59,2.5,2.25,3,3,1,1,2.51,3.18,3.48
E1,15/08/10,Nott'm Forest,Leeds,1,1,D,1,1,D,A Bates,6,6,2,2,10,18,2,3,3,2,0,0,1.83,3.4,4.5,1.8,3.25,4,1.8,3.4,4.2,1.8,3.2,3.7,1.83,3.4,4.5,1.8,3.25,4.2,1.83,3.4,4.5,1.83,3.4,4.33,1.8,3.5,4.5,1.8,3.4,4.5,38,1.91,1.82,3.57,3.37,4.65,4.33,33,2.22,2.1,1.74,1.67,18,0,1.37,1.32,3.75,3.2,0,0,1,1,2.34,3.49,3.49
E1,21/08/10,Bristol City,Barnsley,3,3,D,2,2,D,A Penn,8,12,4,5,9,13,4,4,0,1,0,0,2,3.3,3.8,1.85,3.25,3.75,1.9,3.25,4,1.9,3.2,3.4,1.91,3.4,4,1.9,3.25,3.7,2,3.2,4,1.91,3.4,3.75,2,3.3,4,1.91,3.3,4.2,36,2.05,1.94,3.4,3.26,4.35,3.89,30,2.16,2.02,1.81,1.74,17,0,1.5,1.39,3.15,2.78,1,3,2,2,2.51,3.18,3.48
E1,21/08/10,Burnley,Leicester,3,0,H,1,0,H,G Eltringham,9,11,6,4,15,13,4,5,2,0,0,0,2.1,3.3,3.5,2,3.2,3.35,2.05,3.25,3.4,2,3.2,3.1,2,3.4,3.75,2,3.25,3.4,2.1,3.3,3.5,2,3.25,3.6,2.1,3.3,3.6,2,3.3,3.75,37,2.15,2.06,3.32,3.25,3.79,3.51,31,2.13,2.03,1.8,1.73,17,0,1.55,1.45,2.75,2.56,4,1,2,2,2.28,3.61,3.51
E1,21/08/10,Cardiff,Doncaster,4,0,H,1,0,H,N Swarbrick,13,10,7,5,7,6,7,6,1,1,0,0,1.83,3.5,4.33,1.8,3.45,3.75,1.9,3.25,4,1.9,3.2,3.4,1.8,3.5,4.5,1.8,3.25,4.2,1.83,3.5,4.2,1.83,3.5,4,1.83,3.5,4.33,1.8,3.4,4.5,37,1.93,1.85,3.66,3.38,4.5,4.13,31,2.1,1.99,1.83,1.76,17,0,1.5,1.35,3.4,2.94,4,4,2,2,2.34,3.49,3.49
E1,21/08/10,Coventry,Derby,2,1,H,1,0,H,E Ilderton,14,14,7,9,22,6,10,1,3,2,0,0,2.3,3.25,3.1,2.2,3.2,2.9,2.25,3.25,3,2.2,3.1,2.8,2.38,3.25,3,2.25,3.25,2.85,2.4,3.1,3.1,2.25,3.25,3,2.38,3.12,3.2,2.25,3.25,3.25,36,2.43,2.3,3.26,3.2,3.3,3.03,32,2.07,1.99,1.85,1.76,23,0,1.72,1.64,2.25,2.17,4,3,2,2,2.28,3.61,3.51
E1,21/08/10,Crystal Palace,Ipswich,1,2,A,0,0,D,J Moss,5,5,1,2,3,9,2,5,2,2,1,1,2.5,3.25,2.8,2.45,3,2.7,2.5,3.2,2.65,2.3,3.1,2.6,2.62,3.3,2.62,2.5,3.2,2.55,2.62,3.2,2.7,2.38,3.25,2.8,2.5,3.25,2.88,2.6,3.2,2.7,36,2.6,2.49,3.3,3.18,3,2.76,26,2.25,2.14,1.7,1.64,26,0,1.84,1.77,2.14,1.98,3,4,2,2,2.51,3.18,3.48
E1,21/08/10,Hull,Watford,0,0,D,0,0,D,S Mathieson,16,10,6,6,10,9,3,6,2,1,0,0,2,3.4,3.7,1.95,3.25,3.4,2,3.25,3.6,1.9,3.2,3.4,1.91,3.4,4,1.95,3.25,3.6,2,3.3,3.8,2.1,3.2,3.4,2.1,3.2,3.8,2.1,3.25,3.5,36,2.1,1.99,3.48,3.28,4.05,3.68,30,2.03,1.93,1.92,1.82,17,0,1.5,1.44,2.8,2.61,3,4,2,2,2.46,3.28,3.47
E1,21/08/10,Leeds,Millwall,3,1,H,1,1,D,C Webster,23,6,13,3,11,13,6,5,0,0,0,0,2.25,3.25,3.2,2.25,3.2,2.8,2.25,3.25,3,2.2,3.1,2.8,2.25,3.25,3.25,2.15,3.25,3.1,2.3,3.3,3.1,2.25,3.25,3,2.38,3.12,3.2,2.25,3.25,3.2,36,2.38,2.25,3.33,3.22,3.4,3.09,31,2.16,2.03,1.81,1.73,22,0,1.67,1.61,2.42,2.21,1,6,2,2,2.64,2.93,3.57
